NO,Date,Year,Month,Day,Open,High,Low,Close,Volume,AdjClose,datetime,NYTempHigh,NYTempLow,BadWeather,
1064,2011-05-04,2011,5,4,135.669998,135.729996,134.229996,134.830002,182678500,123.594131,5/4/11,17.800000,7.800000,3.000000,
1065,2011-05-03,2011,5,3,135.960007,136.190002,135.039993,135.729996,138375000,124.419125,5/3/11,23.900000,12.800000,0.000000,
1066,2011-05-02,2011,5,2,137.070007,137.179993,135.949997,136.220001,126278700,124.868297,5/2/11,17.200000,10.000000,0.000000,
1067,2011-04-29,2011,4,29,136.160004,136.570007,135.979996,136.429993,115094100,125.060789,4/29/11,20.600000,12.200000,0.000000,
1068,2011-04-28,2011,4,28,135.429993,136.289993,135.410004,136.110001,124791100,124.767463,4/28/11,22.200000,16.100000,3.000000,
1069,2011-04-27,2011,4,27,135.050003,135.869995,134.5,135.669998,143031000,124.364127,4/27/11,23.900000,16.100000,1.000000,
1070,2011-04-26,2011,4,26,134.050003,135.059998,133.910004,134.789993,146600000,123.557456,4/26/11,28.300000,12.200000,3.000000,
1071,2011-04-25,2011,4,25,133.679993,133.860001,133.199997,133.639999,65757100,122.503296,4/25/11,23.900000,13.300000,3.000000,
1072,2011-04-21,2011,4,21,133.789993,133.839996,133.100006,133.779999,135935400,122.631628,4/21/11,17.200000,6.100000,0.000000,
1073,2011-04-20,2011,4,20,132.880005,133.389999,132.789993,133.100006,156133800,122.008302,4/20/11,18.300000,7.200000,3.000000,
1074,2011-04-19,2011,4,19,130.759995,131.350006,130.440002,131.309998,124258800,120.367461,4/19/11,11.700000,8.300000,3.000000,
1075,2011-04-18,2011,4,18,130.589996,132.029999,129.509995,130.559998,210759300,119.679961,4/18/11,17.200000,8.300000,0.000000,
1076,2011-04-15,2011,4,15,131.800003,132.369995,131.410004,132.039993,170006700,121.036624,4/15/11,13.300000,5.000000,0.000000,
1077,2011-04-14,2011,4,14,130.699997,131.759995,130.270004,131.559998,161220400,120.596628,4/14/11,20.600000,8.900000,0.000000,
1078,2011-04-13,2011,4,13,132.080002,132.179993,130.960007,131.460007,162059000,120.50497,4/13/11,10.000000,6.100000,3.000000,
1079,2011-04-12,2011,4,12,131.720001,131.979996,130.990005,131.470001,161187400,120.514131,4/12/11,22.200000,7.200000,3.000000,
1080,2011-04-11,2011,4,11,133,133.449997,132.139999,132.460007,121385400,121.421636,4/11/11,27.200000,10.000000,4.000000,
1081,2011-04-08,2011,4,8,133.910004,133.990005,132.309998,132.860001,147945400,121.788297,4/8/11,9.400000,5.600000,1.000000,
1082,2011-04-07,2011,4,7,133.419998,133.979996,132.660004,133.320007,170731500,122.20997,4/7/11,11.100000,5.600000,1.000000,
1083,2011-04-06,2011,4,6,133.880005,134,133.119995,133.660004,120411600,122.521633,4/6/11,12.800000,3.300000,2.000000,
1084,2011-04-05,2011,4,5,133,133.830002,132.940002,133.240005,120791500,122.136635,4/5/11,19.400000,5.000000,4.000000,
1085,2011-04-04,2011,4,4,133.429993,133.669998,132.880005,133.259995,100768900,122.154958,4/4/11,17.200000,6.100000,1.000000,
1086,2011-04-01,2011,4,1,133.410004,133.770004,132.830002,133.149994,153850100,122.054124,4/1/11,6.700000,1.700000,4.000000,
1087,2011-03-31,2011,3,31,132.600006,132.960007,132.449997,132.589996,132537100,121.540793,3/31/11,6.100000,2.800000,5.000000,
1088,2011-03-30,2011,3,30,132.550003,133.160004,132.360001,132.770004,135835000,121.7058,3/30/11,11.700000,2.200000,2.000000,
1089,2011-03-29,2011,3,29,130.869995,131.899994,130.440002,131.860001,129798800,120.871631,3/29/11,9.400000,-0.600000,0.000000,
1090,2011-03-28,2011,3,28,131.580002,131.919998,130.940002,130.979996,109762400,120.06496,3/28/11,7.200000,-3.300000,0.000000,
1091,2011-03-25,2011,3,25,131.240005,131.869995,130.889999,131.300003,155642800,120.3583,3/25/11,5.600000,-2.200000,0.000000,
1092,2011-03-24,2011,3,24,130.399994,131.089996,129.669998,130.899994,159129800,119.991625,3/24/11,6.700000,-1.100000,3.000000,
1093,2011-03-23,2011,3,23,128.929993,130,128.320007,129.660004,148603100,118.854967,3/23/11,4.400000,0.000000,5.000000,
1094,2011-03-22,2011,3,22,129.720001,129.889999,129.169998,129.289993,129538600,118.515791,3/22/11,10.000000,4.400000,2.000000,
1095,2011-03-21,2011,3,21,129.350006,130.009995,129.199997,129.740005,153992600,118.928302,3/21/11,7.200000,2.200000,4.000000,
1096,2011-03-18,2011,3,18,128.839996,128.880005,127.510002,127.760002,230435400,117.1133,3/18/11,25.000000,10.600000,0.000000,
1097,2011-03-17,2011,3,17,128,128.389999,127.099998,127.849998,254303700,116.688884,3/17/11,18.300000,6.700000,0.000000,
1098,2011-03-16,2011,3,16,128.149994,128.570007,125.279999,126.18,468670300,115.164674,3/16/11,13.900000,3.300000,3.000000,
1099,2011-03-15,2011,3,15,126.589996,129.330002,126.5,128.559998,359585400,117.336901,3/15/11,8.300000,1.100000,0.000000,
1100,2011-03-14,2011,3,14,129.990005,130.479996,129.059998,130.050003,234974100,118.696831,3/14/11,7.200000,2.800000,0.000000,
1101,2011-03-11,2011,3,11,129.520004,131.309998,129.490005,130.839996,225621800,119.417859,3/11/11,12.800000,4.400000,3.000000,
1102,2011-03-10,2011,3,10,131,131.179993,129.809998,129.940002,301291800,118.596434,3/10/11,11.700000,3.300000,4.000000,
1103,2011-03-09,2011,3,9,132.320007,132.800003,131.600006,132.389999,153806000,120.832549,3/9/11,7.200000,1.100000,1.000000,
1104,2011-03-08,2011,3,8,131.639999,133,131.070007,132.580002,174615000,121.005965,3/8/11,8.900000,-1.700000,0.000000,
1105,2011-03-07,2011,3,7,132.860001,133.160004,130.740005,131.429993,216790400,119.95635,3/7/11,11.700000,1.100000,3.000000,
1106,2011-03-04,2011,3,4,133.369995,133.630005,131.600006,132.470001,277202300,120.905567,3/4/11,5.000000,-2.800000,0.000000,
1107,2011-03-03,2011,3,3,132.399994,133.619995,132.389999,133.470001,176480100,121.818269,3/3/11,0.600000,-6.700000,0.000000,
1108,2011-03-02,2011,3,2,130.75,131.820007,130.350006,131.210007,200277400,119.755568,3/2/11,11.700000,-3.900000,0.000000,
1109,2011-03-01,2011,3,1,133.570007,133.690002,130.889999,130.929993,258565500,119.499999,3/1/11,7.800000,0.600000,0.000000,
1110,2011-02-28,2011,2,28,132.820007,133.320007,132.380005,133.149994,141585500,121.526197,2/28/11,15.600000,4.400000,4.000000,
1111,2011-02-25,2011,2,25,131.479996,132.410004,131.399994,132.330002,141686900,120.77779,2/25/11,13.900000,1.100000,3.000000,
1112,2011-02-24,2011,2,24,130.880005,131.440002,129.699997,130.929993,260431400,119.499999,2/24/11,6.700000,-1.100000,3.000000,
1113,2011-02-23,2011,2,23,131.75,132.070007,130.210007,131.020004,227584000,119.582153,2/23/11,4.400000,-6.100000,1.000000,
1114,2011-02-22,2011,2,22,133.119995,134.559998,131.470001,131.830002,233116400,120.321439,2/22/11,2.200000,-8.900000,0.000000,
1115,2011-02-18,2011,2,18,134.369995,134.690002,134.059998,134.529999,130002400,122.78573,2/18/11,19.400000,7.800000,0.000000,
1116,2011-02-17,2011,2,17,133.460007,134.429993,133.339996,134.25,109810500,122.530175,2/17/11,17.200000,7.800000,0.000000,
1117,2011-02-16,2011,2,16,133.460007,134.009995,133.190002,133.850006,130183500,122.1651,2/16/11,8.900000,-3.300000,0.000000,
1118,2011-02-15,2011,2,15,133.020004,133.220001,132.320007,133.009995,119575400,121.39842,2/15/11,2.800000,-3.900000,0.000000,
1119,2011-02-14,2011,2,14,133.029999,133.539993,132.880005,133.429993,101690700,121.781753,2/14/11,14.400000,2.800000,0.000000,
1120,2011-02-11,2011,2,11,131.800003,133.279999,131.770004,133.110001,137710300,121.489696,2/11/11,2.800000,-7.200000,0.000000,
