date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20131228,0,7.5,5.46666666666667,1.62142857142857,12.80000000000000,2.2
20131229,1,6.95,5.2,1.9,8.9,5
20131230,0,1,1.7,1.30714285714286,7.2,-4.9
20131231,0,-3,-1,-0.428571428571428,0,-6
20140101,0,-2,-3,-2.55714285714286,0.6,-4.3
20140102,0,-4,-5,-3,0.6,-7.7
20140103,1,-10,-7,-3,-7.7,-12.70000000000000
20140104,0,-7,-6,-4,-1.6,-13.20000000000000
20140105,0,1,-1,-5,4.4,-2.7
20140106,0,3,-3,-5,12.80000000000000,-7.1
20140107,0,-11,-6,-4,-7.1,-15.50000000000000
20140108,0,-9,-8,-1.42142857142857,-5.5,-12.70000000000000
20140109,0,-3,-4,-0.435714285714286,0,-5.5
20140110,0,1,2.25,0.114285714285714,2.8,-1
20140111,1,8.6,5.75,3,14.40000000000000,2.8
20140112,1,7.75,7.68333333333333,5.17142857142857,12.20000000000000,3.3
20140113,0,6.7,7.78333333333333,6.12142857142857,10.60000000000000,2.8
20140114,1,8.9,7.23333333333333,6.51428571428571,11.10000000000000,6.7
20140115,0,6.1,6.3,5.52857142857143,8.3,3.9
20140116,0,3.9,4.55,4.35,5.6,2.2
20140117,0,3.65,3.08333333333333,3.91428571428571,6.7,0.6
20140118,0,2,1.61666666666667,1.77857142857143,5,-1.6
20140119,0,-1,2,-0.742857142857143,3.3,-4.3
20140120,0,4,-1,-2.75714285714286,7.8,-0.5
20140121,0,-6,-5,-5,-0.5,-11.60000000000000
20140122,0,-12,-9,-6,-8.2,-14.90000000000000
20140123,0,-10,-10,-6,-6.6,-13.80000000000000
20140124,0,-9,-8,-6,-6.6,-12.10000000000000
20140125,0,-5,-6,-7,-2.1,-7.1
20140126,0,-4,-3,-6,1.1,-8.2
20140127,0,0,-4,-5,6.7,-6
20140128,0,-9,-5,-4,-6,-11.00000000000000
20140129,0,-7,-7,-2.75,-4.9,-9.9
20140130,0,-5,-4,-1.01428571428571,-1,-8.8
20140131,0,0,-0.0500000000000001,-0.821428571428572,3.9,-3.8
20140201,1,4.7,4.45,0.121428571428571,7.2,2.2
20140202,1,8.6,5,1.14285714285714,13.30000000000000,3.9
20140203,0,2,2.8,1.41428571428571,6.1,-2.7
20140204,1,-2,0,1.1,1.7,-5.5
20140205,0,0,-2,-0.114285714285714,1.1,-1.6
20140206,0,-3,-2,-2,0,-6
20140207,0,-2,-3,-3,0,-4.3
20140208,0,-4,-3,-3,-1.6,-6
20140209,0,-3,-4,-4,-0.5,-6
20140210,0,-4,-4,-4,-1.6,-6
20140211,0,-6,-6,-3,-3.2,-8.8
20140212,0,-7,-5,-3,-3.8,-10.50000000000000
20140213,0,-1,-2,-3,2.2,-4.3
20140214,0,2,0,-3,4.4,-0.5
20140215,0,0,-1,-2,2.8,-2.7
20140216,0,-4,-2,-0.271428571428571,-1,-6
20140217,0,-4,-2,0.835714285714286,0,-7.7
20140218,0,0,0.216666666666667,1.38571428571429,3.9,-3.2
20140219,0,4.15,3.73333333333333,2.56428571428571,7.2,1.1
20140220,0,6.7,5.55,4.37142857142857,10.60000000000000,2.8
20140221,0,5.8,6.93333333333333,5.20714285714286,9.4,2.2
20140222,0,8.3,7.75,4.89285714285714,12.20000000000000,4.4
20140223,0,9.15,6.48333333333333,3.79285714285714,12.20000000000000,6.1
20140224,0,2,3.1,2.20714285714286,6.7,-2.7
20140225,0,-2,-1,0.164285714285714,0.6,-4.3
20140226,1,-4,-3,-1.29285714285714,-0.5,-6.6
20140227,1,-4,-5,-2.28571428571429,1.1,-9.9
20140228,0,-9,-5,-3.15714285714286,-4.3,-12.70000000000000
20140301,0,-2,-2.73333333333333,-3.75714285714286,2.8,-6.6
20140302,1,2.2,-1.26666666666667,-3.2,4.4,0
20140303,1,-4,-2.65,-3.23571428571429,0,-8.2
